image,codec,level,bpp,ref_name,base_name,ours_name,num_vote_base,num_vote_ours,psnry_base,psnry_ours,vmaf_base,vmaf_ours,vifp_base,vifp_ours
kodim07,b2017,3,0.3031,kodim07.png,kodim07_b2017_base_3.png,kodim07_b2017_ours_3.png,20,27,34.4404,34.4617,71.0900,76.2298,0.8371,0.8634
kodim07,b2017,4,0.6384,kodim07.png,kodim07_b2017_base_4.png,kodim07_b2017_ours_4.png,21,26,38.5367,38.4919,87.0994,85.6953,0.9450,0.9394
kodim07,b2018,1,0.0599,kodim07.png,kodim07_b2018_base_1.png,kodim07_b2018_ours_1.png,12,35,28.0719,28.1813,32.4702,41.4951,0.5266,0.5436
kodim07,b2018,2,0.0884,kodim07.png,kodim07_b2018_base_2.png,kodim07_b2018_ours_2.png,11,36,29.5376,28.9138,49.0984,60.2818,0.6396,0.6637
kodim07,b2018,3,0.3347,kodim07.png,kodim07_b2018_base_3.png,kodim07_b2018_ours_3.png,24,23,36.4998,35.7894,81.9605,85.9472,0.8906,0.9068
kodim07,b2018,4,0.7860,kodim07.png,kodim07_b2018_base_4.png,kodim07_b2018_ours_4.png,20,27,41.9863,41.0195,93.1498,91.3111,0.9721,0.9712
kodim08,b2017,1,0.0761,kodim08.png,kodim08_b2017_base_1.png,kodim08_b2017_ours_1.png,13,34,20.3059,20.7543,24.1399,29.9225,0.4731,0.5159
kodim08,b2017,2,0.1034,kodim08.png,kodim08_b2017_base_2.png,kodim08_b2017_ours_2.png,7,40,20.9459,21.4065,31.4588,36.4261,0.5378,0.5666
kodim08,b2017,3,0.3607,kodim08.png,kodim08_b2017_base_3.png,kodim08_b2017_ours_3.png,23,24,25.0957,25.4604,64.1639,66.1554,0.7688,0.7709
kodim08,b2017,4,0.7392,kodim08.png,kodim08_b2017_base_4.png,kodim08_b2017_ours_4.png,19,28,28.6306,28.8836,80.1594,82.0688,0.8802,0.8964
kodim08,b2018,1,0.1378,kodim08.png,kodim08_b2018_base_1.png,kodim08_b2018_ours_1.png,23,24,22.9706,22.9398,50.1393,53.6616,0.6369,0.6250
kodim08,b2018,2,0.1742,kodim08.png,kodim08_b2018_base_2.png,kodim08_b2018_ours_2.png,19,28,24.3441,23.9787,57.1619,60.5507,0.6829,0.6705
kodim08,b2018,3,0.4386,kodim08.png,kodim08_b2018_base_3.png,kodim08_b2018_ours_3.png,11,36,27.6367,27.8474,74.3553,79.0429,0.8093,0.8376
kodim08,b2018,4,0.6707,kodim08.png,kodim08_b2018_base_4.png,kodim08_b2018_ours_4.png,21,26,30.4953,30.2565,82.0697,84.5164,0.8788,0.8975
kodim11,b2017,1,0.0547,kodim11.png,kodim11_b2017_base_1.png,kodim11_b2017_ours_1.png,15,32,25.4715,25.6470,26.1391,29.2492,0.4605,0.4681
kodim11,b2017,2,0.0768,kodim11.png,kodim11_b2017_base_2.png,kodim11_b2017_ours_2.png,16,31,26.0353,26.2493,34.4415,36.8584,0.5102,0.5254
kodim11,b2017,3,0.2056,kodim11.png,kodim11_b2017_base_3.png,kodim11_b2017_ours_3.png,22,25,28.5975,28.7259,61.3534,63.0188,0.7249,0.7319
kodim11,b2017,4,0.4840,kodim11.png,kodim11_b2017_base_4.png,kodim11_b2017_ours_4.png,13,34,31.4511,31.3796,77.9978,78.9763,0.8646,0.8891
kodim11,b2018,1,0.0358,kodim11.png,kodim11_b2018_base_1.png,kodim11_b2018_ours_1.png,2,45,24.4569,24.8675,19.1580,27.1700,0.3886,0.4153
kodim11,b2018,2,0.0704,kodim11.png,kodim11_b2018_base_2.png,kodim11_b2018_ours_2.png,11,36,26.1705,26.3138,41.3659,48.1888,0.5200,0.5526
kodim11,b2018,3,0.0952,kodim11.png,kodim11_b2018_base_3.png,kodim11_b2018_ours_3.png,6,41,26.9608,26.8584,48.2608,55.7565,0.5808,0.6159
kodim11,b2018,4,0.3522,kodim11.png,kodim11_b2018_base_4.png,kodim11_b2018_ours_4.png,11,36,31.9790,31.9883,78.2504,83.1758,0.8348,0.8749
kodim12,b2017,1,0.0388,kodim12.png,kodim12_b2017_base_1.png,kodim12_b2017_ours_1.png,8,39,27.8364,28.2034,29.5217,35.8030,0.3751,0.4092
kodim12,b2017,2,0.0616,kodim12.png,kodim12_b2017_base_2.png,kodim12_b2017_ours_2.png,8,39,29.6505,27.9556,43.1768,49.0693,0.4549,0.4865
kodim12,b2017,3,0.2250,kodim12.png,kodim12_b2017_base_3.png,kodim12_b2017_ours_3.png,19,28,33.2225,33.4656,70.6034,75.7079,0.7141,0.7572
kodim12,b2017,4,0.3209,kodim12.png,kodim12_b2017_base_4.png,kodim12_b2017_ours_4.png,20,27,34.8172,34.6311,78.9661,80.9018,0.8041,0.8309
kodim12,b2018,1,0.0352,kodim12.png,kodim12_b2018_base_1.png,kodim12_b2018_ours_1.png,1,46,27.6623,28.8808,32.7826,45.1246,0.3624,0.4344
kodim12,b2018,2,0.1195,kodim12.png,kodim12_b2018_base_2.png,kodim12_b2018_ours_2.png,14,33,32.6393,32.4830,68.1791,73.1624,0.6525,0.6892
kodim12,b2018,3,0.1650,kodim12.png,kodim12_b2018_base_3.png,kodim12_b2018_ours_3.png,15,32,33.7314,33.3438,77.2372,78.1525,0.7323,0.7575
kodim12,b2018,4,0.2500,kodim12.png,kodim12_b2018_base_4.png,kodim12_b2018_ours_4.png,26,21,35.1907,34.7701,80.6696,83.5597,0.7967,0.8271
kodim13,b2017,1,0.0773,kodim13.png,kodim13_b2017_base_1.png,kodim13_b2017_ours_1.png,16,31,21.4218,21.5954,9.9125,14.2518,0.3800,0.3898
kodim13,b2017,2,0.1660,kodim13.png,kodim13_b2017_base_2.png,kodim13_b2017_ours_2.png,12,35,22.2904,22.7171,24.6839,33.5257,0.5029,0.5494
kodim13,b2017,3,0.3783,kodim13.png,kodim13_b2017_base_3.png,kodim13_b2017_ours_3.png,14,33,24.1201,24.5490,48.8467,53.2120,0.6992,0.7107
kodim13,b2017,4,0.6252,kodim13.png,kodim13_b2017_base_4.png,kodim13_b2017_ours_4.png,24,23,25.9093,25.8396,62.9113,63.5013,0.8027,0.7968
kodim13,b2018,1,0.0645,kodim13.png,kodim13_b2018_base_1.png,kodim13_b2018_ours_1.png,26,21,20.8497,21.3568,5.0938,16.8315,0.3126,0.3561
kodim13,b2018,2,0.1084,kodim13.png,kodim13_b2018_base_2.png,kodim13_b2018_ours_2.png,35,12,22.4955,22.2895,29.9762,30.7278,0.4784,0.4477
kodim13,b2018,3,0.4591,kodim13.png,kodim13_b2018_base_3.png,kodim13_b2018_ours_3.png,15,32,26.3438,26.4012,63.1393,67.3632,0.7412,0.7752
